Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Opening Videos,,Thirsty Pilot Pours a Beverage Over Poland,,0:00,2:40
Electricity,Gauss's Law,Technique for Gauss's Law,,3:03,6:24
Electricity,Gauss's Law,Infinite Charged Rod (part a),,6:24,15:00
Electricity,Gauss's Law,Infinite Charged Rod (part b),,15:04,26:56
Electricity,Gauss's Law,Infinite Charged Rod (part c),,26:56,30:27
Electricity,Gauss's Law,Infinite Charged Rod (part d),,30:29,32:18
Electricity,Gauss's Law,Conductors in an Electric Field,,32:18,37:40
Electricity,Gauss's Law,Shell of Conductors Problem,,37:40,48:49
