Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Magnetism,Faraday's Law,More on Transients,,0:04,7:19
Magnetism,Faraday's Law,Plotting RL Transient Qualities,,7:19,12:19
Magnetism,Faraday's Law,Interrupting Current to RL Circuits,,12:19,19:21
Magnetism,Faraday's Law,Summarizing Math of Transients,,19:21,22:54
Magnetism,Faraday's Law,Intro to AC Circuit Theory,,22:54,31:37
Magnetism,Faraday's Law,Phasors,,31:37,43:08
Magnetism,Faraday's Law,Summarizing AC Circuit Theory,,43:08,48:30
