Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Opening Videos,,Physics Girl - Physics of Skateboarding (Lect. 5),,0:00,1:18
Electricity,Electric Calculus,Possible Electric Field Integrals,,1:22,4:16
Electricity,Electric Calculus,Hollow Disk (part a),,4:18,10:56
Electricity,Electric Calculus,Hollow Disk (part b),,10:56,17:40
Electricity,Electric Calculus,Hollow Disk (part c),,17:40,33:12
Electricity,Electric Calculus,Hollow Disk (part d),,33:12,46:06
Electricity,Electric Calculus,Ring of Charge (part a),,46:06,50:40
