Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Maxwell,Maxwell's Equations,What We've Learned - EM Waves,,0:59,7:46
Maxwell,Maxwell's Equations,Polarizations,,7:46,14:00
Maxwell,Maxwell's Equations,Polaroids & Malus's Law,,14:00,22:46
Maxwell,Maxwell's Equations,Constructive & Destructive Interference,,22:46,28:39
Maxwell,Maxwell's Equations,Thin Film - Light Vectors,,28:39,33:50
Maxwell,Maxwell's Equations,Thin Film - Index of Refraction,,33:50,39:04
Maxwell,Maxwell's Equations,Thin Film - Marching Band,,39:04,47:23
Maxwell,Maxwell's Equations,Thin Film - Snell's Law,,47:23,50:35
