Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Optics,Interference,Comments on Interference - Sliding & Phase,,0:09,6:13
Optics,Interference,Comments on Interference - Single Slit,,6:13,13:32
Optics,Interference,Comments on Interference - Double Slit,,13:32,20:47
Optics,Geometrical Optics,Intro to Geometrical Optics,,20:47,25:52
Optics,Geometrical Optics,Review on Reflection & Refraction,,25:52,35:41
Optics,Geometrical Optics,Images & 3D Glasses,,35:41,42:31
Optics,Geometrical Optics,Images - Mirrors & Lenses,,42:31,50:27
