Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Maxwell,Maxwell's Equations,Thin Film - What We've Learned,,0:48,5:32
Maxwell,Maxwell's Equations,More on Index of Refraction,,5:32,14:41
Maxwell,Maxwell's Equations,Fiber Optics,,14:41,21:41
Maxwell,Maxwell's Equations,Mirage,,21:41,29:29
Maxwell,Maxwell's Equations,Thin Film - More Snell's Law,,29:29,39:57
Maxwell,Maxwell's Equations,Thin Film - Flipping,,39:57,44:51
Maxwell,Maxwell's Equations,Thin Film - Soap Bubble,,44:51,50:34
