Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Electricity,Capacitors,Concept Comparisons,,00:36,9:43
Electricity,Capacitors,Intro to Kirchoff's Laws,,9:43,17:14
Electricity,Capacitors,Kirchoff's Law Problem - Loop Rule,,17:14,27:26
Electricity,Capacitors,Kirchoff's Law Problem - Junction Rule,,27:26,36:02
Electricity,Capacitors,Kirchoff's Law Problem - Simultaneous Equations,,36:02,40:16
Electricity,Capacitors,Kirchoff's Law Problem - Pop Goes the Weasel,,40:16,44:45
Electricity,Capacitors,Kirchoff's Law Problem - Cramer's Rule,,44:45,49:35
