Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Opening Videos,,First Image of a Black Hole,,0:00,1:47
Circuits,Circuit Theory,AC Circuit Theory - What We've Learned,,2:19,12:17
Circuits,Circuit Theory,Examining Impedance,,12:17,15:50
Circuits,Circuit Theory,DC Circuit Analysis,,15:50,21:40
Circuits,Circuit Theory,Filter Circuit,,21:40,29:55
Circuits,Circuit Theory,Car Stereo,,29:54,34:34
Circuits,Circuit Theory,RL Circuit Analysis (part a),,34:34,38:44
Circuits,Circuit Theory,RL Circuit Analysis (part b),,38:44,48:51
Circuits,Circuit Theory,RLC Circuits,,48:51,50:55
