Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Electricity,Capacitors,Voltage with Capacitance and Resistance,,2:28,11:00
Electricity,Capacitors,Capacitor or Resistor Network,,11:00,15:03
Electricity,Capacitors,Charge Current Voltage Through Series or Parallel,,15:03,22:28
Electricity,Capacitors,Deriving Total Capacitance & Resistance,,22:30,27:16
Electricity,Capacitors,Simplifying Capacitor & Resistor Networks (part a),,27:16,34:58
Electricity,Capacitors,Simplifying Capacitor & Resistor Networks (part b),,34:58,41:13
Electricity,Capacitors,Simplifying Capacitor & Resistor Networks (part c),,41:13,47:03
Electricity,Capacitors,Simplifying Capacitor & Resistor Networks (part d),,47:03,52:11
