Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Electricity,Capacitors,Capacitors and Conductors - What We've Covered,,1:03,10:34
Electricity,Capacitors,Review - Gauss Law for Capacitors,,10:46,15:16
Electricity,Capacitors,Voltage Slang,,15:16,22:10
Electricity,Capacitors,Deriving Capacitance (Again),,22:10,24:48
Electricity,Capacitors,What is Epsilon Naught?,,24:48,33:42
Electricity,Capacitors,The Dielectric Constant,,33:42,41:37
Electricity,Capacitors,Capacitors in Series and Parallel,,41:37,47:53
Electricity,Capacitors,Parallel Capacitors - Charge and Voltage,,47:53,50:54
