Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Magnetism,Magnetic Field,Brief Review - RHR & Magnetic Force,,0:17,6:47
Magnetism,Magnetic Field,Magnetic Spectrometer,,6:47,13:53
Magnetism,Magnetic Field,Magnetic Field from Moving Charges,,13:53,17:35
Magnetism,Magnetic Field,Wire in a Magnetic Field,,17:35,27:06
Magnetism,Magnetic Field,Torque and Magnetic Moment,,27:06,34:11
Magnetism,Magnetic Field,Review - Consequences of Magnetic Field,,34:11,37:14
Magnetism,Magnetic Field,Review - Sources of Magnetic Field,,37:14,39:11
Magnetism,Magnetic Field,1Ampere's Law,,39:22,41:30
Magnetism,Magnetic Field,2Ampere's Law,,42:08,49:52
