Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Opening Videos,,Backyard Science - Insane Party Tricks,,0:00,0:36
Midterm 1,Review,Lecture Before Exam - Review (part a),,8:25,8:52
Midterm 1,Review,Gauss Law Review - Conductor-Insulator (part 2a),,13:42,16:59
Midterm 1,Review,Gauss Law Review - Conductor-Insulator (part bold),,16:59,19:55
Midterm 1,Review,Gauss Law Review - Conductor-Insulator (part c),,19:55,30:24
Midterm 1,Review,Gauss Law Review - Conductor-Insulator (part d),,30:25,41:29
Midterm 1,Review,Integrals Review - Partial Spherical Shell,,45:03,52:44
