Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Opening Videos,,Circular Saw Kickback Killer - Smarter Every Day,,0:00,0:48
Midterm 1,,More for Online Students,,10:46,13:59
Electricity,Electric Potential,Electric Potential - PE Review,,14:19,22:56
Electricity,Electric Potential,Rutherford Experiment (part a),,22:56,32:21
Electricity,Electric Potential,Rutherford Experiment (part b),,32:21,39:19
Electricity,Electric Potential,PE and Force vs E Field and Potential,,39:19,49:15
Electricity,Electric Potential,Brief Methodology for Solving Potential,,49:15,52:09
