Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Midterm 1,,Exam Grading Techniques,,13:41,15:56
Midterm 1,,For Online Students,,18:27,24:28
Electricity,Electric Potential,Electricity - What We've Learned,,24:28,28:51
Electricity,Electric Potential,Change in PE for Electric Force,,28:51,37:03
Electricity,Electric Potential,Examining Potential Energy,,37:03,41:56
Electricity,Electric Potential,PE of a Collection of Charges,,41:58,50:15
