Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Magnetism,Magnetic Field,Magnetic Field Lines & Flux,,1:58,6:50
Magnetism,Magnetic Field,Charged Particle in a Magnetic Field,,6:50,14:00
Magnetism,Magnetic Field,Magnetic Force Equation,,14:00,19:44
Magnetism,Magnetic Field,Math of the Right-Hand Rule,,19:44,25:40
Magnetism,Magnetic Field,The Right-Hand Rule,,25:39,37:14
Magnetism,Magnetic Field,Right-Hand Rule Applied,,37:14,46:33
Magnetism,Magnetic Field,The Other Right-Hand Rule,,46:33,48:23
Magnetism,Magnetic Field,Walking a Magnetic Field Loop,,48:23,51:28
