Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Opening Videos,,Dominoes - Hardcore Mode - Smarter Every Day,,0:00,0:46
Electricity,Electric Potential,Partial Derivatives for Electric Field,,9:08,18:35
Electricity,Electric Potential,Partial Derivatives in Higher Level Coordinate Systems,,18:35,22:42
Electricity,Electric Potential,The Del Operator,,22:42,35:50
Electricity,Electric Potential,Neutral Conductor and a Point Charge,,35:50,41:26
Electricity,Electric Potential,Intro to Capacitors,,41:26,50:40
