Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Opening Videos,,Where Do Deleted Files Go? - VSauce (Lect. 11),true,0:00.0,0:12.6
Newtonian Physics,,Intro to Circular Motion,true,0:25.4,12:43.0
Newtonian Physics,,"Solving for ""Circular"" Acceleration (Derivation)",true,12:45.0,31:46
Newtonian Physics,,Method to Solve a Circular Motion Problem,,31:46,50:31
