Topic,Subtopic,Filename,Video Start Time,Video End Time
Opening Videos,,The Controversial Physics of Curling,0:00,1:07
Newtonian Physics,,Introduction to Friction,1:7,26:55
Newtonian Physics,,Incline Plane with Friction,26:59,52:06
