Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Exam Info,Midterm 1,More Exam Info for Midterm 1,,0:49,18:13
Exam Info,Midterm 1,About Review Session for Midterm 1,,18:24,25:40
Exam Info,Midterm 1,More Exam Info for Midterm 1 (Cont.),,25:54,31:59
Newtonian Physics,,Newtonian Gravity,,31:58,53:02
