Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Opening Videos,,The Magic of Butterfly Scales,,0:00,2:03
Exam Info,Midterm 1,Info About Midterm 1,,2:03,26:31
Exam Info,Midterm 1,Exam Info for Online Students,,26:32,32:13
Exam Info,Midterm 1,Info About Midterm 1 (Cont.),,32:35,35:33
Newtonian Physics,,Banked Curve Problem,,35:39,52:42
