Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Exam Info,Midterm 1,Day Before Midterm 1 Info,,0:51,11:19
Review,Midterm 1,Banked Curve Review,,11:19,42:46
Review,Midterm 1,Atwood's Machine on a Ramp,,42:46,52:11
