Topic,Subtopic,Filename,Video Start Time,Video End Time
Opening Videos,,Which Tank Fills First? (Lect. 5),0:00,2:19
Kinematics,Motion,What We've Learned So Far - Kinematics,3:34,15:58
Kinematics,Motion,Continuation of Vectors and 2D Motion,15:58,34:32
Kinematics,Motion,Free Fall,34:32,47:34
Kinematics,Motion,Projectile Motion,47:34,53:29
,,,,
