Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Opening Videos,,Feeling Temperature with a Haptic Glove,,0:00,1:02
Exam Info,Midterm 1,1Post-Review Midterm Info,,1:18,2:32
Exam Info,Midterm 1,2Post-Review Midterm Info,,3:41,8:22
Energy and Momentum,,Using Work to Find Potential Energy,true,8:22.0,30:02
Energy and Momentum,,Conservative and Non-Conservative Work,true,30:01.7,48:01.0
Energy and Momentum,,Problem - Conservation of Energy at Different Moments,,48:01,51:45
