Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Energy and Momentum,Momentum,Review of Work,,0:00,4:09
Energy and Momentum,Momentum,An Application of Work,,4:08,9:06
Energy and Momentum,Momentum,Defining Impulse,,9:06,15:56
Energy and Momentum,Momentum,Defining Systems,,15:56,27:39
Energy and Momentum,Momentum,Impulse and Momentum,,27:39,33:15
Energy and Momentum,Momentum,Ideal Collisions,,33:13,38:45
Energy and Momentum,Momentum,An Example of Collision -- Statement,,38:45,44:29
Energy and Momentum,Momentum,An Example of Collision -- Calculation,,44:29,52:37
