Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Opening Videos,,Levitating Barbecue (Lect. 8),,0:00,0:58
Newtonian Physics,Newton's Laws,Newton's Second Law,,1:04,9:52
Newtonian Physics,Newton's Laws,The Importance of Bookkeeping,,9:52,16:01
Newtonian Physics,Newton's Laws,Intro to Atwood's Machine,,16:01,24:34
Newtonian Physics,Newton's Laws,Free Body Diagram (M),,24:34,35:20
Newtonian Physics,Newton's Laws,Writing Force Equations,,35:20,43:56
Newtonian Physics,Newton's Laws,Inclined Plane Free Body Diagram,,43:56,49:59
