Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Exam Info,Midterm 2,Midterm 2 Topics (OLD),,00:40,08:05
Exam Info,Midterm 2,Remote Exams (Some Online Students),,08:05,10:22
Exam Info,Midterm 2,Review Sessions,,10:22,12:12
Exam Info,Midterm 2,More Remarks on MT2,,12:12,21:50
Rotational Mechanics,Angular Momentum,One Final Problem,,21:50,24:32
Fluids,,Continuum vs Discrete,,24:32,33:32
Fluids,,Bernoulli's Equation,,33:23,41:49
Fluids,,Pascal's Law,,41:48,44:58
Fluids,,Digesting Bernoulli's Equation,,44:58,52:48
