Topic,Subtopic,Filename,Video Start Time,Video End Time
Opening Videos,,How to Make a Square Vortex Ring (Lect. 30),0:00,1:24
Simple Harmonic Motion,30,What We've Learned (Before the Midterm),1:24,17:36
Simple Harmonic Motion,30,Continuum Mechanics with Restoring Force,17:36,23:24
Simple Harmonic Motion,30,Waves on a String,23:24,32:24
Simple Harmonic Motion,30,Slope of a Plucked String,32:24,39:11
Simple Harmonic Motion,30,Getting Rid of M,39:11,46:27
Simple Harmonic Motion,30,Solving the Wave Equation,46:27,53:07
