Topic,Subtopic,Filename,Video Start Time,Video End Time
Exam Info,Midterm 2,Day Before Midterm 2 Info,0:55,4:13
Exam Info,Midterm 2 Review,Bernoulli Problem Review,4:13,12:29
Exam Info,Midterm 2 Review,Gauge Pressure vs. Absolute Pressure,12:29,22:41
Exam Info,Midterm 2 Review,Aplying the Continuity Equation,22:41,27:42
Exam Info,Midterm 2 Review,Archimedes Problem Review,27:42,34:32
Exam Info,Midterm 2 Review,Archimedes Problem Part B,34:32,40:02
Exam Info,Midterm 2 Review,Torque Problem with Acceleration,40:02,51:28
