Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Rotational Mechanics,Torque,Recap of Torque,,00:52,04:22
Rotational Mechanics,Torque,Diving Board -- Intro,,04:22,10:38
Rotational Mechanics,Torque,Diving Board -- Solving,,10:37,23:00
Rotational Mechanics,Torque,Ladder Problem -- FBD,,23:00,30:16
Rotational Mechanics,Torque,Ladder Problem -- Solving,,30:15,35:40
Rotational Mechanics,Angular Momentum,Intro to Angular Momentum,,35:40,37:33
Rotational Mechanics,Angular Momentum,Plate Spinning,,37:33,45:15
Rotational Mechanics,Angular Momentum,Changing I,,45:13,50:57
