Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Newtonian Physics,Circular Motion,Speed Velocity & Acceleration,,0:24,9:40
Newtonian Physics,Circular Motion,Deriving Acceleration -- Direction,,9:40,20:04
Newtonian Physics,Circular Motion,Deriving Acceleration -- Magnitude,,20:04,31:46
Newtonian Physics,Circular Motion,Centrifugal 'Force' in Theory,,31:46,41:30
Newtonian Physics,Circular Motion,Centrifugal 'Force' in Action,,41:31,48:17
Newtonian Physics,Circular Motion,Solving Circular Motion Problems,,48:17,50:31
