Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Opening Videos,,Entropic Time - ACapellaScience (Lect. 10),,0:00,0:48
Newtonian Physics,Newton's Laws,Newton's Third Law,,0:48,8:55
Newtonian Physics,Newton's Laws,Equal and Opposite,,8:55,17:08
Newtonian Physics,Newton's Laws,Third Law Problem,,17:08,23:53
Newtonian Physics,Newton's Laws,Third Law Problem - Free Body Diagram 1,,23:53,30:23
Newtonian Physics,Newton's Laws,Third Law Problem - Free Body Diagram 2,,30:28,39:05
Newtonian Physics,Newton's Laws,Third Law Problem - Force Equations,,39:05,


Newtonian Physics,,Newton's Third Law,,0:55,17:08
Newtonian Physics,,An Old Newton's 3rd Law Exam Problem,,17:08,51:26
