Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Opening Videos,,Which Tank Fills First? (Lect. 5),,0:00,2:19
Kinematics,2D Motion,Review - Kinematics in 1D,,3:33,8:13
Kinematics,2D Motion,Review - Well-Formed Questions & Info,,8:13,12:46
Kinematics,2D Motion,Review - Definition of Success,,12:46,15:47
Kinematics,2D Motion,The Importance of Vectors,,15:47,22:46
Kinematics,2D Motion,The 'Hat' Direction,,22:46,28:50
Kinematics,2D Motion,Magnitude and Direction,,28:50,34:32
Kinematics,2D Motion,Free Fall 1,,34:32,41:39
Kinematics,2D Motion,Free Fall 2,,42:39,47:34
Kinematics,2D Motion,Projectile Motion,,47:34,53:29
