Topic,Subtopic,Filename,Video Start Time,Video End Time
Fluids,,Flex Seal Demo,00:00,02:51
Exam Info,Midterm 2 Info,Midterm 2 Info Again (OLD),02:51,08:13
Fluids,,Recap of Bernoulli's Equation,08:13,17:17
Fluids,,Spinning Balls,17:17,29:51
Fluids,,More Examples,29:51,37:32
Fluids,,Continuity Equations,37:32,42:13
Fluids,,Archimedes' Principle,42:13,47:17
Fluids,,Roth Regatta,47:17,52:45
