Topic,Subtopic,Filename,Video Start Time,Video End Time
Opening Videos,32,Veritasium - The kg is dead (Lect. 32),0:00,1:35
Waves,32,Intensity of a Wave,1:35,9:36
Waves,32,The Decibel,9:36,22:37
Waves,32,Waves in Finite media,22:37,32:09
Waves,32,Waves at a Closed-Closed Boundary,32:09,42:29
Waves,32,Examples of Waves at a Boundary,42:29,48:41
