Topic,Subtopic,Filename,Video Start Time,Video End Time
Exam Info,Midterm 1,Regrading Policy,2:15,10:20
Energy and Momentum,Momentum,Revisiting the Car Problem,10:20,17:40
Energy and Momentum,Momentum,Time and Ideal Collisions,17:40,24:39
Energy and Momentum,Energy and Momentum,Using Momentum and Energy,24:39,35:15
Energy and Momentum,Energy and Momentum,Questions and Answers,35:15,39:00
Energy and Momentum,Energy and Momentum,Deciding When to Use What,39:00,47:37
Energy and Momentum,Energy and Momentum,Deriving an Equation for Elastic Collisions,47:37,51:55
