Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Rotational Mechanics,Moment of Inertia,Recap of I,,0:10,8:36
Rotational Mechanics,Torque,Introduction to Torque,,8:33,13:20
Rotational Mechanics,Torque,Equation for Torque -- Magnitude,,13:02,21:29
Rotational Mechanics,Torque,Equation for Torque -- Direction,,21:28,31:06
Rotational Mechanics,Torque,Practicing with Yoyos -- FBD,,31:05,39:38
Rotational Mechanics,Torque,Practicing with Yoyos -- Equations,,39:38,48:00 
