Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Opening Videos,,A Baffling Balloon Behavior (Lect. 2),,0:00,2:17
REMOVED,Clickers,Clickers,,2:17,8:45
Syllabus Week,,More Administrivia,,8:45,15:11
Important Basics,Significant Digits,Should We Use Significant Digits?,,15:54,25:09
Important Basics,Significant Digits,What To Do Instead of Sig Digs,,25:09,30:19
Important Basics,Units,Using Units,,30:19,35:21
Important Basics,Units,Identities,,35:21,42:55
Important Basics,Units,Conversions - Right or Wrong?,,42:54,46:32
Kinematics,1D Motion,What is 1D Motion?,,46:32,50:25
