Topic,Subtopic,Filename,Video Start Time,Video End Time
Exam Info,Final,Information About the Final,0:00,5:35
Heat Engines,38,Why Textbooks are Bad at Thermo,5:35,10:03
Heat Engines,38,Engine - Piston in Hot and Cold,10:03,19:14
Heat Engines,38,Refrigerator - Piston in Hot and Cold,19:14,29:02
Heat Engines,38,Fridge and Heat Pump,29:02,35:54
Heat Engines,38,What You Get vs. What You Pay For,35:54,40:10
Heat Engines,38,P-V Diagrams,40:10,44:37
Heat Engines,38,Heat Engine,44:37,53:52
