Topic,Subtopic,Filename,recompress,Video Start Time,Video End Time
Energy and Momentum,Collisions,Review of Collisions,,04:58,13:40
Energy and Momentum,Collisions,Review of Elastic Collisions,,13:40,18:34
Energy and Momentum,Collisions,Breaking Down Our Equation,,18:34,27:52
Energy and Momentum,Collisions,A Practical Consideration,,27:52,30:13
Rotational Mechanics,Introduction,A New Type of Problem,,30:13,35:35
Rotational Mechanics,Kinematics,Introducing Angular Quantities,,35:35,40:55
Rotational Mechanics,Kinematics,Units in Rotational Problems,,40:55,46:00
Rotational Mechanics,Kinematics,Constant Alpha,,46:00,48:36
